City_ID,City,Country,Date,Lat,Lng,Max Temp (C),Humidity (%),Cloudiness (%),Wind Speed (mph)
191,Pevek,RU,2023-03-09 21:01:27,69.7008,170.3133,-19.78,97,100,1.2
192,Souillac,MU,2023-03-09 21:03:36,-20.5167,57.5167,25.99,89,99,4.15
193,Crystal Beach,CA,2023-03-09 21:03:37,42.8699,-79.0583,4.01,72,90,2.24
194,Kaeo,NZ,2023-03-09 21:03:37,-35.1,173.7833,21.29,96,100,5.67
195,Joroan,PH,2023-03-09 21:03:37,13.4885,123.6189,22.78,85,31,3.33
196,Port Hardy,CA,2023-03-09 21:03:37,50.6996,-127.4199,6.18,54,1,3.15
197,Alta Floresta,BR,2023-03-09 21:03:37,-9.8756,-56.0861,25.68,83,99,0.62
198,Vao,NC,2023-03-09 21:03:37,-22.6667,167.4833,25.28,65,64,4.37
199,Tshikapa,CD,2023-03-09 21:03:37,-6.4167,20.8,21.56,96,100,0.64
200,Mérida,MX,2023-03-09 21:00:10,20.9667,-89.6167,32.79,45,0,6.26
201,Mezen',RU,2023-03-09 21:03:39,65.8522,44.24,-12.21,90,100,3.16
202,Krasnosel'kup,RU,2023-03-09 21:03:39,65.7,82.4667,-22.99,95,77,5.97
203,Umm Bāb,QA,2023-03-09 21:03:39,25.2142,50.8072,23.92,48,99,5.8
204,Mingshui,CN,2023-03-09 21:03:39,36.7167,117.5,13.96,23,12,4.78
205,Kangaatsiaq,GL,2023-03-09 21:03:39,68.3065,-53.4641,-14.98,98,100,3.8
206,Ndélé,CF,2023-03-09 21:03:40,8.4109,20.6473,27.1,21,100,0.74
207,Lonato,IT,2023-03-09 20:59:21,45.4648,10.4739,12.79,77,40,2.06
208,Upernavik,GL,2023-03-09 21:03:40,72.7868,-56.1549,-21.36,87,15,0.77
209,Abu Samrah,SY,2023-03-09 21:03:40,35.3029,37.1841,9.73,85,0,3.98
210,Vilyuysk,RU,2023-03-09 21:03:40,63.7553,121.6247,-13.08,92,100,5.25
211,Havre-St-Pierre,CA,2023-03-09 21:03:40,50.2334,-63.5986,1.36,72,77,4.04
212,Ibrā’,OM,2023-03-09 21:03:40,22.6906,58.5334,19.09,46,19,0.52
213,Sitka,US,2023-03-09 21:03:41,57.0531,-135.33,0.94,40,75,3.09
214,Rosarito,MX,2023-03-09 21:03:41,32.3333,-117.0333,21.24,56,23,4.66
215,Kaniama,CD,2023-03-09 21:03:41,-7.5667,24.1833,20.24,93,100,0.35
216,Netrakona,BD,2023-03-09 21:03:41,24.8833,90.7167,20.79,35,68,2.51
217,Beidao,CN,2023-03-09 21:01:59,34.5686,105.8933,11.39,71,100,0.67
218,Myitkyina,MM,2023-03-09 21:03:41,25.3833,97.4,19.2,42,99,0.74
219,College,US,2023-03-09 21:03:41,64.8569,-147.8028,-3.01,88,100,5.14
220,Astoria,US,2023-03-09 21:02:00,46.1879,-123.8313,5.94,78,100,8.23
221,Zhezkazgan,KZ,2023-03-09 21:03:42,47.8043,67.7144,-7.1,91,100,3.47
222,Narsaq,GL,2023-03-09 21:03:42,60.9167,-46.05,2.12,71,100,4.0
223,Tabas,IR,2023-03-09 21:03:42,33.5959,56.9244,21.46,41,100,2.75
224,Tsovagyugh,AM,2023-03-09 21:03:42,40.6303,44.9574,-1.37,68,86,2.26
225,Wanaka,NZ,2023-03-09 21:03:42,-44.7,169.15,14.5,75,6,1.34
226,Caravelas,BR,2023-03-09 21:03:42,-17.7125,-39.2481,25.68,79,100,2.84
227,Strezhevoy,RU,2023-03-09 21:01:59,60.7333,77.5889,-15.87,89,74,6.66
228,Saint George,US,2023-03-09 21:01:12,37.1041,-113.5841,17.46,23,0,3.6
229,Makurdi,NG,2023-03-09 21:03:42,7.7411,8.5121,33.09,42,100,4.44
230,Nouadhibou,MR,2023-03-09 21:00:21,20.931,-17.0347,19.76,70,0,10.1
231,Bathsheba,BB,2023-03-09 21:03:42,13.2167,-59.5167,27.34,74,40,3.6
232,Kumul,CN,2023-03-09 21:03:43,42.8,93.45,6.85,29,98,4.72
233,Ulladulla,AU,2023-03-09 21:02:13,-35.35,150.4667,14.63,62,0,2.02
234,Seymchan,RU,2023-03-09 21:03:43,62.8833,152.4333,-36.59,100,56,0.56
235,Carnarvon,AU,2023-03-09 21:03:43,-24.8667,113.6333,23.54,66,0,8.97
236,Mossamedes,AO,2023-03-09 21:03:43,-15.1961,12.1522,22.41,70,7,0.87
237,Las Palmas,ES,2023-03-09 21:02:01,28.4204,-14.0131,17.44,88,0,6.69
238,Tutóia,BR,2023-03-09 21:03:43,-2.7619,-42.2744,26.61,79,100,4.96
239,Haines Junction,CA,2023-03-09 21:03:43,60.7522,-137.5108,-6.33,91,100,0.79
240,Liverpool,GB,2023-03-09 20:54:16,53.4106,-2.9779,2.86,94,100,10.29
241,Geraldton,AU,2023-03-09 21:03:44,-28.7667,114.6,17.23,77,40,1.54
242,Wagar,SD,2023-03-09 21:03:44,16.1525,36.2032,24.04,42,68,5.1
243,Calama,CL,2023-03-09 21:03:44,-22.4667,-68.9333,23.27,38,20,10.29
244,Praia,CV,2023-03-09 21:00:15,14.9215,-23.5087,24.13,66,0,6.19
245,Grand-Santi,GF,2023-03-09 21:03:44,4.25,-54.3833,26.73,80,94,1.23
246,Adré,TD,2023-03-09 21:03:44,13.4667,22.2,26.24,11,82,8.25
247,Kilimatinde,TZ,2023-03-09 21:03:45,-5.85,34.95,19.12,90,97,3.14
248,Hofn,IS,2023-03-09 21:01:05,64.2539,-15.2082,-4.1,65,70,9.43
249,Paraúna,BR,2023-03-09 21:03:45,-16.9478,-50.4486,23.48,86,96,1.05
250,Lompoc,US,2023-03-09 21:03:46,34.6391,-120.4579,18.08,76,95,8.05
251,Abu Dhabi,AE,2023-03-09 20:55:46,24.4667,54.3667,28.01,36,0,3.09
252,Rome,US,2023-03-09 20:57:37,43.2128,-75.4557,2.75,69,100,1.34
253,Linjiang,CN,2023-03-09 21:03:46,41.8069,126.9078,2.01,84,7,1.17
254,Umm Hājar,TD,2023-03-09 21:03:46,13.2954,19.6966,31.11,9,100,8.78
255,Grindavik,IS,2023-03-09 21:03:46,63.8424,-22.4338,-2.74,59,40,10.8
256,Cayenne,GF,2023-03-09 21:03:46,4.9333,-52.3333,29.02,65,0,5.14
257,Jiazi,CN,2023-03-09 21:03:47,22.8779,116.067,17.62,67,0,4.5
258,Namatanai,PG,2023-03-09 21:03:47,-3.6667,152.4333,25.9,84,100,1.97
259,Cabo San Lucas,MX,2023-03-09 21:03:47,22.8909,-109.9124,27.56,49,75,4.12
260,Santiago del Estero,AR,2023-03-09 21:02:31,-27.7951,-64.2615,36.06,29,0,5.36
261,Kahului,US,2023-03-09 21:03:47,20.8947,-156.47,27.01,48,20,5.14
262,Cardoso,BR,2023-03-09 21:03:47,-20.0819,-49.9142,25.39,80,57,1.93
263,Aquiraz,BR,2023-03-09 21:03:47,-3.9014,-38.3911,28.05,81,92,4.78
264,Mt. Pleasant,US,2023-03-09 21:03:47,32.7941,-79.8626,20.73,51,0,3.09
265,Kedrovyy,RU,2023-03-09 21:03:48,56.1667,91.8167,-21.77,100,100,1.34
266,Coquimbo,CL,2023-03-09 20:58:59,-29.9533,-71.3436,21.85,68,0,4.12
267,Ola,RU,2023-03-09 21:03:48,59.5833,151.2833,-23.88,94,33,2.84
268,Mayo,US,2023-03-09 21:03:48,38.8876,-76.5119,13.95,42,0,4.63
269,Chernyshevskiy,RU,2023-03-09 21:03:48,63.0128,112.4714,-12.5,96,100,2.26
270,San Ignacio,BZ,2023-03-09 21:03:03,17.1561,-89.0714,34.08,40,20,3.09
271,Bambous Virieux,MU,2023-03-09 21:03:48,-20.3428,57.7575,25.68,85,100,4.54
272,Klaksvík,FO,2023-03-09 21:03:48,62.2266,-6.589,-1.49,59,100,6.79
273,Sunrise Manor,US,2023-03-09 21:03:48,36.2111,-115.0731,18.26,18,0,3.6
274,Port-Gentil,GA,2023-03-09 21:01:06,-0.7193,8.7815,26.98,94,20,3.09
275,Naze,JP,2023-03-09 21:03:49,28.3667,129.4833,14.51,78,11,3.21
276,Fort-Shevchenko,KZ,2023-03-09 21:03:49,44.5086,50.263,8.31,92,100,6.14
277,Dingle,PH,2023-03-09 21:03:49,10.9995,122.6711,23.23,91,0,2.75
278,Oranjemund,NA,2023-03-09 21:03:49,-28.55,16.4333,17.14,84,0,3.47
279,Mount Isa,AU,2023-03-09 21:03:49,-20.7333,139.5,19.87,100,75,4.63
280,Hualmay,PE,2023-03-09 21:03:49,-11.0964,-77.6139,25.67,69,81,4.11
281,Launceston,AU,2023-03-09 21:03:49,-41.45,147.1667,13.78,87,100,4.12
282,Port Shepstone,ZA,2023-03-09 21:03:49,-30.7414,30.455,23.53,86,23,2.66
283,Meulaboh,ID,2023-03-09 21:03:50,4.1363,96.1285,23.91,90,86,1.88
284,Beni Mazar,EG,2023-03-09 21:03:50,28.4962,30.8029,19.18,25,0,2.09
285,Saint-Augustin,CA,2023-03-09 21:03:50,51.226,-58.6502,0.81,70,99,7.3
286,Kaitangata,NZ,2023-03-09 21:03:50,-46.2817,169.8464,13.19,77,12,2.06
287,Tigil',RU,2023-03-09 21:03:50,57.8,158.6667,-25.06,100,100,1.56
288,Yangi Marg`ilon,UZ,2023-03-09 21:03:50,40.4272,71.7189,10.4,87,94,1.03
289,Cidreira,BR,2023-03-09 21:03:50,-30.1811,-50.2056,26.09,79,3,3.83
290,Llallagua,BO,2023-03-09 21:03:50,-18.4167,-66.6333,11.01,61,91,5.63
291,Ostrovnoy,RU,2023-03-09 21:03:50,68.0531,39.5131,-14.99,97,100,3.95
